words,top,left,width,height
截至12月31日,25,857,161,23
附註,55,655,58,28
2021年,57,846,81,24
2020年,57,1045,81,24
人民幣,87,843,88,27
人民幣,87,1040,89,27
資產,151,60,57,27
流動資產,184,62,111,24
現金及現金等價物,217,62,225,24
"11,024,906",218,809,119,24
"29,209,388",218,1006,120,22
受限制現金,249,61,140,23
"609,975",251,842,87,23
"2,332,145",251,1018,108,22
短期存款,280,61,112,24
"25,858,007",283,808,120,23
"979,897",282,1039,87,23
短期投資,313,61,113,23
"2,833,763",315,821,107,23
"2,820,711",315,1019,106,23
應收賬款及票據，淨額,345,63,280,23
6,347,677,14,19
"2,673,494",347,821,107,23
"1,128,892",347,1022,104,22
應收分期付款的流動部分，淨额,377,62,397,23
"887,202",378,842,87,24
"156,069",378,1041,85,23
存货,407,60,57,27
"2,661,921",411,821,106,24
"1,343,025",411,1022,104,23
應收關聯方款项,441,63,197,23
"32,785",442,853,75,24
682,441,1085,43,23
預付款項及其他流動資產,472,63,311,25
"2,248,683",474,821,107,24
"1,708,469",474,1021,105,22
流動資產總额,543,63,167,23
"48,830,736",544,808,120,23
"39,679,278",544,1006,120,22
非流動資產,616,63,137,24
物业、廠房及設備，淨额,649,63,307,24
"5,424,776",651,821,107,23
"3,081,502",651,1020,106,23
使用權資產，淨额,681,63,222,23
"1,561,175",683,822,106,23
"461,184",683,1040,87,22
無形資產，淨额,713,63,194,23
"878,724",714,842,87,23
"607,781",714,1040,85,23
土地使用權，淨額,745,63,223,23
"595,471",747,842,86,24
"249,934",746,1039,88,23
應收分期付款，淨额,777,63,252,23
"1,863,492",778,821,107,24
"397,467",778,1040,87,23
其他非流動資產,809,62,196,24
"1,730,486",810,821,107,24
"228,633",810,1039,88,23
長期投資,840,62,112,24
"1,549,176",842,822,106,24
"1,000",842,1067,61,24
長期押金,872,61,112,24
"3,217,266",875,820,109,23
非流動資產總額,943,63,197,23
"16,820,566",945,809,120,22
"5.027,501",946,1019,105,19
資產總額,1017,63,110,24
"65,651,302",1019,809,119,22
"44,706,779",1018,1006,120,22
